('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         931727 function calls (909642 primitive calls) in 281.719 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      208    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
     1057    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
       96    0.000    0.000    0.000    0.000 typing_extensions.py:3143(_has_generic_or_protocol_as_origin)
       98    0.000    0.000    0.340    0.003 utils.py:265(is_multi_byte_encoding)
     2094    0.000    0.000    0.000    0.000 ssl.py:1083(_checkClosed)
  688/640    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
  199/163    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
      174    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
       68    0.000    0.000    0.001    0.000 client.py:1312(putheader)
      377    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
        1    0.000    0.000    0.002    0.002 typing_extensions.py:1(<module>)
       96    0.000    0.000    0.001    0.000 typing_extensions.py:3228(_collect_parameters)
      232    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
       90    0.000    0.000    0.340    0.004 __init__.py:73(import_module)
     1034    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      164    0.000    0.000    0.003    0.000 _htmlparser.py:269(handle_comment)
        9    0.000    0.000  271.960   30.218 socket.py:810(create_connection)
      208    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.001    0.001 financial_enhanced.py:84(extract_field)
       11    0.000    0.000    0.001    0.000 request.py:434(add_handler)
       26    0.000    0.000    0.002    0.000 feedparser.py:216(_parsegen)
       86    0.000    0.000    0.000    0.000 {method 'join' of 'bytes' objects}
      174    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
        9    0.000    0.000    3.122    0.347 client.py:329(begin)
      209    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:416(__enter__)
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
  313/304    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        9    0.000    0.000    3.051    0.339 client.py:296(_read_status)
        9    0.000    0.000  279.210   31.023 request.py:1303(do_open)
      556    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        7    0.000    0.000    0.000    0.000 {built-in method _codecs_iso2022.getcodec}
       41    0.000    0.000    0.003    0.000 typing.py:687(Union)
       74    0.000    0.000    0.001    0.000 cookiejar.py:620(request_host)
      373    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
       25    0.000    0.000    0.001    0.000 enum.py:254(__set_name__)
        9    0.000    0.000    0.066    0.007 client.py:218(_read_headers)
        1    0.000    0.000    0.006    0.006 socket.py:1(<module>)
       22    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        9    0.000    0.000    0.005    0.001 client.py:236(_parse_header_lines)
      228    0.000    0.000    0.064    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      383    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      696    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       69    0.000    0.000    0.001    0.000 message.py:494(get)
