('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         1046056 function calls (1020540 primitive calls) in 44.380 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      255    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        6    0.000    0.000    0.003    0.001 typing.py:2780(__new__)
      199    0.000    0.000    0.002    0.000 css_types.py:360(__init__)
      313    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:420(__exit__)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
       53    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       66    0.000    0.000    0.001    0.000 message.py:529(get_all)
      210    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      898    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      348    0.000    0.000    0.000    0.000 utils.py:91(<genexpr>)
        2    0.000    0.000    0.050    0.025 api.py:1(<module>)
        1    0.000    0.000    0.001    0.001 financial.py:65(extract_field)
       72    0.000    0.000    0.001    0.000 message.py:494(get)
       84    0.000    0.000    0.262    0.003 response.py:1346(_handle_chunk)
      107    0.000    0.000    0.001    0.000 cookies.py:349(set_cookie)
       68    0.000    0.000    0.001    0.000 client.py:1312(putheader)
      567    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      519    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
       23    0.000    0.000    0.003    0.000 enum.py:528(__new__)
       55    0.000    0.000    0.003    0.000 typing.py:1449(__getitem__)
      846    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      524    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:632(cached)
      293    0.000    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      164    0.000    0.000    0.003    0.000 _htmlparser.py:269(handle_comment)
      594    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      547    0.000    0.000    0.293    0.001 models.py:818(generate)
       33    0.000    0.000    0.007    0.000 cookies.py:124(extract_cookies_to_jar)
       88    0.000    0.000    0.000    0.000 typing_extensions.py:3143(_has_generic_or_protocol_as_origin)
      170    0.000    0.000    0.000    0.000 _collections.py:257(__getitem__)
       88    0.000    0.000    0.001    0.000 typing_extensions.py:3228(_collect_parameters)
       86    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        9    0.000    0.000    0.000    0.000 threading.py:277(__init__)
      784    0.000    0.000    0.000    0.000 {built-in method from_bytes}
     15/9    0.000    0.000   37.245    4.138 sessions.py:160(resolve_redirects)
      254    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      712    0.000    0.000    0.000    0.000 socket.py:732(readable)
      547    0.000    0.000    0.293    0.001 response.py:1231(stream)
       22    0.000    0.000    0.000    0.000 cookiejar.py:1389(_normalized_cookie_tuples)
       18    0.000    0.000    0.003    0.000 cookiejar.py:1272(_cookies_for_domain)
      898    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
       50    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
      747    0.000    0.000    0.000    0.000 _parser.py:83(groups)
        9    0.000    0.000    3.309    0.368 client.py:296(_read_status)
      142    0.000    0.000    0.003    0.000 css_types.py:203(__init__)
      708    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        9    0.000    0.000    0.003    0.000 connection.py:424(request)
        1    0.000    0.000    0.000    0.000 element.py:1764(Tag)
      177    0.000    0.000    0.001    0.000 _parser.py:86(opengroup)
      336    0.000    0.000    0.002    0.000 typing.py:166(_type_convert)
      353    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      333    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.006    0.006 parse.py:1(<module>)
      107    0.000    0.000    0.000    0.000 cookiejar.py:1667(set_cookie)
      294    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       41    0.000    0.000    0.002    0.000 cookiejar.py:1096(return_ok)
      302    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
       33    0.000    0.000    0.004    0.000 cookiejar.py:1599(make_cookies)
      294    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
