('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         1044928 function calls (1019376 primitive calls) in 9.848 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      311    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
      303    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
      302    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
      300    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      295    0.000    0.000    0.000    0.000 enum.py:1185(__init__)
      294    0.040    0.000    0.040    0.000 {built-in method _imp.find_frozen}
      294    0.000    0.000    0.041    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      293    0.000    0.000    0.496    0.002 <frozen importlib._bootstrap_external>:1520(find_spec)
      293    0.001    0.000    0.495    0.002 <frozen importlib._bootstrap_external>:1491(_get_spec)
      290    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
      290    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
    288/5    0.001    0.000    2.081    0.416 <frozen importlib._bootstrap>:911(_load_unlocked)
  288/281    0.001    0.000    0.066    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      288    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      288    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
      288    0.000    0.000    0.000    0.000 typing.py:1565(__eq__)
      285    0.000    0.000    0.001    0.000 css_parser.py:344(match)
      270    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      270    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      270    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      270    0.000    0.000    0.000    0.000 enum.py:241(__set_name__)
      270    0.000    0.000    0.000    0.000 types.py:192(__init__)
      268    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      268    0.002    0.000    0.002    0.000 _compiler.py:386(_mk_bitmap)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
    256/1    0.002    0.000    9.848    9.848 {built-in method builtins.exec}
  255/252    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      255    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      254    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      254    0.137    0.001    0.137    0.001 {built-in method marshal.loads}
      254    0.289    0.001    0.289    0.001 {built-in method _io.open_code}
      254    0.003    0.000    0.003    0.000 {method '__exit__' of '_io._IOBase' objects}
      254    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      254    0.001    0.000    0.769    0.003 <frozen importlib._bootstrap_external>:1183(get_data)
      254    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1178(get_filename)
      254    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
      254    0.004    0.000    0.922    0.004 <frozen importlib._bootstrap_external>:1062(get_code)
    254/5    0.001    0.000    2.080    0.416 <frozen importlib._bootstrap_external>:989(exec_module)
      254    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:986(create_module)
      254    0.004    0.000    0.141    0.001 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      254    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      254    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      237    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      233    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
      216    0.000    0.000    0.000    0.000 cookiejar.py:535(is_HDN)
  215/179    0.000    0.000    0.001    0.000 _compiler.py:436(_get_literal_prefix)
      211    0.000    0.000    0.000    0.000 cookiejar.py:44(_debug)
      211    0.000    0.000    0.000    0.000 utils.py:52(_has_surrogates)
      210    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      206    0.000    0.000    0.001    0.000 typing.py:723(<genexpr>)
      204    0.000    0.000    0.001    0.000 cookies.py:49(get_full_url)
      203    0.008    0.000    0.008    0.000 {method 'upper' of 'str' objects}
      202    0.000    0.000    0.001    0.000 _policybase.py:319(header_fetch_parse)
      202    0.000    0.000    0.001    0.000 _policybase.py:289(_sanitize_header)
      199    0.000    0.000    0.002    0.000 css_types.py:360(__init__)
      195    0.001    0.000    3.196    0.016 {method 'readline' of '_io.BufferedReader' objects}
      194    0.000    0.000    0.000    0.000 status_codes.py:117(<genexpr>)
      193    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      193    0.001    0.000    0.103    0.001 _parser.py:969(parse)
